A,P,AFinal,PFinal,AGen,PGen,count,run
MutateTerminalR,AddXD,MutateNonTerminalR,AddToLeafX,0,0,0,1
AddTreeWithAdd,SubXD,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,1
SubXD,SkipD,DivXD,DeleteTerminalR,0,0,2,1
DeleteNonTerminalR,ReplaceBranchXR,AddXD,MutateNonTerminalR,0,0,3,1
SubXD,AddToLeafX,DivXD,AddTreeWithMult,0,0,4,1
DeleteTerminalR,AddToLeafX,MutateNonTerminalR,AddTreeWithSub,0,0,5,1
MutateNonTerminalR,AddToLeafX,MultXD,SkipD,0,0,6,1
AddToLeafR,ReplaceBranchXR,ReplaceBranchXR,SkipD,0,0,7,1
AddTreeWithDiv,MultXD,AddToLeafR,MutateNonTerminalR,0,0,8,1
ReplaceBranchR,MultXD,AddTreeWithSub,MutateTerminalR,0,0,9,1
AddToLeafR,AddToLeafR,MutateNonTerminalR,SubXD,0,0,10,1
DivXD,AddXD,MultXD,ReplaceBranchXR,0,0,11,1
DivXD,MultXD,AddTreeWithMult,ReplaceBranchR,0,0,12,1
FellTreeD,AddXD,ReplaceBranchR,DeleteNonTerminalR,0,0,13,1
AddTreeWithSub,SubXD,ReplaceBranchR,MultXD,0,0,14,1
AddTreeWithMult,SubXD,MutateNonTerminalR,DeleteNonTerminalR,0,0,15,1
