gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.059233473402169654,-0.008837532187945248,-0.059200880930597305,0.01324341355938533,NaN,NaN,NaN,229.28040000000001,-0.9600000000000001,0.4660268498982393,0.0021267733321874826,0.08917942805642218,5886.34,5721.280000000001,6120.8,4575.68,(((x)*((9)*(0)))*((9)-((x)*(5)))),((((x)+((6)*(5)))*((5)-((0)+(2))))*(((x)+(2))-((2)*((x)-(x))))),AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,MultXD|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.05309250359430139,0.00693855378381911,-0.04482163377336296,0.015948195380622518,NaN,NaN,792.3936,206.1028,-0.5599869298130963,0.7342270851616035,0.0789781361183796,0.2184256878326422,60961.86,5077.1900000000005,67330.8,2277.44,((((x)*(x))*((7)+((5)*(x))))*((x)+((x)+((x)-(x))))),((((6)+((2)*(x)))+((0)*((x)*(x))))+(((x)+(x))-((x)*((9)-(0))))),MultXD|AddXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,1,1,2,2,4
2,x*x*x*x,25,-10,-0.032831015553522414,0.010659721164918957,-0.0308108404130179,0.017235188677483807,1096.998,251.86630000000005,1406.1252000000002,195.0744,-0.3599869298130963,0.569561401870904,0.0977320977835007,0.16583189216598582,77546.86,5727.1,97934.8,3688.48,((((x)*(x))*((8)+((9)*(x))))*((x)+((x)+((x)-(x))))),((((x)*(x))*((0)+((7)-(6))))*((1)+((9)-((2)*(x))))),MultXD|AddXD|AddXD|SubXD|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddXD,ReplaceBranchR,2,1,3,3,4
3,x*x*x*x,25,-10,-0.03106891452097765,0.00847452006459513,-0.02807661743562933,0.011773717721306275,1366.6347,589.9997999999999,1824.5159999999998,241.87440000000004,-0.32116010978957,0.29496611087252833,0.15089667326494255,0.004265426833549348,71631.48000000001,6071.4,103876.08,6041.52,((((x)*(x))*((9)+((x)*(x))))*((x)+((8)+((6)+(x))))),((((4)+(9))*((3)*((1)+(0))))+(((3)+(4))-((0)-((1)*(x))))),AddTreeWithDiv|AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddXD,ReplaceBranchR,3,2,4,4,4
4,x*x*x*x,25,-10,-0.03305743758985753,0.01090235907885899,-0.02823067050058816,0.016903766080997817,1062.3509,250.46519999999998,1800.9427999999998,197.9144,-0.4399281139720298,0.5378288552383442,0.16614851571678352,0.1267101580734003,55164.07,5588.9,85702.2,3960.4,((((x)*(x))*((7)+((8)*(x))))*((x)+((x)+((x)+(7))))),((((7)*(1))*((0)+((3)*(5))))*(((6)+(5))-((4)+((x)*(x))))),AddTreeWithDiv|AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,3,2,5,5,4
5,x*x*x*x,25,-10,-0.023808977321974494,0.008985324318975967,-0.01867594579439792,0.013314039247904103,3036.5398999999998,431.0615,4614.5524,228.67520000000002,0.5967784436944391,0.37336856059898804,0.5635460115722449,0.04183966827315823,238716.7,5906.3,379493.6,5369.68,((((x)*(9))*((x)*((x)*(6))))+((1)*((x)+((x)+(x))))),((((x)+(0))*((1)*(2)))-((0)+((x)+((x)*(x))))),MultXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddXD,ReplaceBranchR,5,2,6,6,4
6,x*x*x*x,25,-10,-0.03280026345590245,-0.007493668347956604,-0.025202441870625966,0.011093787926881642,1178.6193,460.1224,2571.9847999999997,247.7008,0.3589985263082052,0.29159586982093855,0.6741963484521347,0.0025379243645327282,100972.85,6089.66,238720.2,6070.4,((((x)*(8))*((5)*((x)*(x))))*((x)+((5)+((2)+(x))))),(((2)*((5)+(2)))-((0)*((9)*(x)))),MultXD|AddXD|FellTreeD|AddTreeWithMult|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,6,6,7,7,4
7,x*x*x*x,25,-10,-0.025232241567102787,0.002937301031317067,-0.01512857349537947,0.014842831002483337,3691.9369,2872.5412,8818.8656,215.57479999999998,0.8031180785106741,0.5281009018428964,0.7330364057560209,0.1209367816335736,299529.65,5598.2300000000005,777217.12,4043.76,((((x)*(x))*((x)*((x)*(x))))+((4)*((9)+((x)+(x))))),((((x)*(6))+((2)*((3)*(x))))*((x)*((0)+((1)*(x))))),MultXD|AddXD|FellTreeD|AddTreeWithMult|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddXD,ReplaceBranchR,6,7,8,8,4
8,x*x*x*x,25,-10,-0.014799976664056538,-0.006906150406402417,0.01494911903537631,0.011605952536549849,5486.6564,3885.9262,14622.817599999998,243.31199999999998,0.7975233648668661,0.2872920439905149,0.7697481715293809,0.6192770396050115,270269.29,49226.659999999996,755741.52,6107.28,((((x)*(x))*((x)*((9)+(x))))*((7)*((x)+((x)+(x))))),(((2)*(7))-((7)*(x))),MultXD|AddXD|FellTreeD|AddTreeWithMult|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,6,8,9,9,4
9,x*x*x*x,25,-10,-0.020655900858430706,0.0007052861743820671,-0.00792724467480703,0.01147693112011502,3424.4228999999996,7024.4532,6519.3135999999995,244.4176,0.6268693111103308,0.28751610433743496,0.5563852072321507,0.001135665368551528,215771.95,6118.4400000000005,410097.6,6105.36,((((x)*(x))*((x)*((x)*(4))))*((9)+((8)+((x)+(x))))),((8)*((1)*(x))),MultXD|AddXD|FellTreeD|AddTreeWithMult|AddTreeWithAdd,MultXD|ReplaceBranchR|DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,6,9,10,10,4
10,x*x*x*x,25,-10,-0.02023947322064691,0.0024627453041341342,-0.00922696024866784,0.014934509027764815,3737.8646000000003,1056.4929,6971.0104,214.7892,0.6837512369290596,0.2879922325746402,0.5430667608088415,0.0009725650519337202,251457.1,6112.4,483859.6,6101.28,((((x)*(3))+((7)*((8)*(x))))*((x)*((x)+((x)+(x))))),(((2)-(9))*((0)-(4))),MultXD|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd,MultXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,AddXD,ReplaceBranchR,10,8,11,11,4
